"Timeinfo","Level","Message","Light","Pressure","Disp Pressure","Light Counter","Pressure Counter"
2023-09-09 11:28:44.648, [INFO],Judge Storage:L0,861,0,0,0,0
2023-09-09 11:28:44.732, [INFO],Still Outside
2023-09-09 11:28:45.294, [INFO],Still Outside
2023-09-09 11:28:45.650, [INFO],Judge Storage:L0,865,0,0,0,0
2023-09-09 11:28:45.857, [INFO],Still Outside
2023-09-09 11:28:46.420, [INFO],Still Outside
2023-09-09 11:28:46.653, [INFO],Judge Storage:L0,864,0,0,0,0
2023-09-09 11:28:46.982, [INFO],Still Outside
2023-09-09 11:28:47.545, [INFO],Still Outside
2023-09-09 11:28:47.655, [INFO],Judge Storage:L0,859,0,0,0,0
2023-09-09 11:28:48.108, [INFO],Still Outside
2023-09-09 11:28:48.658, [INFO],Judge Storage:L0,853,0,0,0,0
2023-09-09 11:28:48.670, [INFO],Still Outside
2023-09-09 11:28:49.233, [INFO],Still Outside
2023-09-09 11:28:49.661, [INFO],Judge Storage:L0,856,0,0,0,0
2023-09-09 11:28:49.797, [INFO],Still Outside
2023-09-09 11:28:50.359, [INFO],Still Outside
2023-09-09 11:28:50.663, [INFO],Judge Storage:L0,850,0,0,0,0
2023-09-09 11:28:50.922, [INFO],Still Outside
2023-09-09 11:28:51.485, [INFO],Still Outside
2023-09-09 11:28:51.666, [INFO],Judge Storage:L0,853,0,0,0,0
2023-09-09 11:28:52.47 , [INFO],Still Outside
2023-09-09 11:28:52.610, [INFO],Still Outside
2023-09-09 11:28:52.668, [INFO],Judge Storage:L0,857,0,0,0,0
2023-09-09 11:28:53.173, [INFO],Still Outside
2023-09-09 11:28:53.670, [INFO],Judge Storage:L0,844,0,0,0,0
2023-09-09 11:28:53.735, [INFO],Still Outside
2023-09-09 11:28:54.298, [INFO],Still Outside
2023-09-09 11:28:54.673, [INFO],Judge Storage:L0,839,0,0,0,0
2023-09-09 11:28:54.862, [INFO],Still Outside
2023-09-09 11:28:55.424, [INFO],Still Outside
2023-09-09 11:28:55.675, [INFO],Judge Storage:L0,845,0,0,0,0
2023-09-09 11:28:55.987, [INFO],Still Outside
2023-09-09 11:28:56.549, [INFO],Still Outside
2023-09-09 11:28:56.678, [INFO],Judge Storage:L0,841,0,0,0,0
2023-09-09 11:28:57.112, [INFO],Still Outside
2023-09-09 11:28:57.675, [INFO],Still Outside
2023-09-09 11:28:57.681, [INFO],Judge Storage:L0,839,0,0,0,0
2023-09-09 11:28:58.237, [INFO],Still Outside
2023-09-09 11:28:58.683, [INFO],Judge Storage:L0,863,0,0,0,0
2023-09-09 11:28:58.800, [INFO],Still Outside
2023-09-09 11:28:59.363, [INFO],Still Outside
2023-09-09 11:28:59.686, [INFO],Judge Storage:L0,864,0,0,0,0
2023-09-09 11:28:59.927, [INFO],Still Outside
2023-09-09 11:29:00.489, [INFO],Still Outside
2023-09-09 11:29:00.688, [INFO],Judge Storage:L0,861,0,0,0,0
2023-09-09 11:29:01.52 , [INFO],Still Outside
2023-09-09 11:29:01.615, [INFO],Still Outside
2023-09-09 11:29:01.691, [INFO],Judge Storage:L0,863,0,0,0,0
2023-09-09 11:29:02.177, [INFO],Still Outside
2023-09-09 11:29:02.693, [INFO],Judge Storage:L0,865,0,0,0,0
2023-09-09 11:29:02.740, [INFO],Still Outside
2023-09-09 11:29:03.302, [INFO],Still Outside
2023-09-09 11:29:03.696, [INFO],Judge Storage:L0,838,0,0,0,0
2023-09-09 11:29:03.865, [INFO],Still Outside
2023-09-09 11:29:04.428, [INFO],Still Outside
2023-09-09 11:29:04.699, [INFO],Judge Storage:L0,841,0,0,0,0
2023-09-09 11:29:04.992, [INFO],Still Outside
2023-09-09 11:29:05.555, [INFO],Still Outside
2023-09-09 11:29:05.701, [INFO],Judge Storage:L0,841,0,0,0,0
2023-09-09 11:29:06.117, [INFO],Still Outside
2023-09-09 11:29:06.680, [INFO],Still Outside
2023-09-09 11:29:06.704, [INFO],Judge Storage:L0,837,0,0,0,0
2023-09-09 11:29:07.242, [INFO],Still Outside
2023-09-09 11:29:07.706, [INFO],Judge Storage:L0,865,0,0,0,0
2023-09-09 11:29:07.805, [INFO],Still Outside
2023-09-09 11:29:08.367, [INFO],Still Outside
2023-09-09 11:29:08.709, [INFO],Judge Storage:L0,866,0,0,0,0
2023-09-09 11:29:08.930, [INFO],Still Outside
2023-09-09 11:29:09.493, [INFO],Still Outside
2023-09-09 11:29:09.711, [INFO],Judge Storage:L0,865,0,0,0,0
2023-09-09 11:29:10.57 , [INFO],Still Outside
2023-09-09 11:29:10.620, [INFO],Still Outside
2023-09-09 11:29:10.714, [INFO],Judge Storage:L0,861,0,0,0,0
2023-09-09 11:29:11.183, [INFO],Still Outside
2023-09-09 11:29:11.716, [INFO],Judge Storage:L0,864,0,0,0,0
